"","x"
"WBGene00000266",3
"WBGene00000268",4
"WBGene00000269",3
"WBGene00000272",3
"WBGene00000273",2
"WBGene00000275",3
"WBGene00000276",2
"WBGene00000277",2
"WBGene00000281",4
"WBGene00000283",4
"WBGene00000284",4
"WBGene00000286",2
"WBGene00000288",4
"WBGene00000292",3
"WBGene00000293",2
"WBGene00000295",4
"WBGene00000298",3
"WBGene00000302",4
"WBGene00000367",1
"WBGene00000368",1
"WBGene00000370",4
"WBGene00000371",6
"WBGene00000373",1
"WBGene00000376",4
"WBGene00000379",2
"WBGene00000380",2
"WBGene00000386",2
"WBGene00000391",1
"WBGene00000392",6
"WBGene00000393",1
"WBGene00000395",1
"WBGene00000397",5
"WBGene00000399",3
"WBGene00000401",5
"WBGene00000402",3
"WBGene00000403",4
"WBGene00000405",5
"WBGene00000406",1
"WBGene00000408",2
"WBGene00000411",2
"WBGene00000415",2
"WBGene00000416",2
"WBGene00000417",2
"WBGene00000437",4
"WBGene00000441",4
"WBGene00000443",1
"WBGene00000465",2
"WBGene00000472",3
"WBGene00000473",2
"WBGene00000474",2
"WBGene00000475",6
"WBGene00000477",1
"WBGene00000479",2
"WBGene00000480",4
"WBGene00000482",1
"WBGene00000487",4
"WBGene00000493",5
"WBGene00000497",5
"WBGene00000498",2
"WBGene00000499",2
"WBGene00000501",4
"WBGene00000503",5
"WBGene00000509",4
"WBGene00000510",4
"WBGene00000512",1
"WBGene00000514",1
"WBGene00000515",1
"WBGene00000516",4
"WBGene00000517",2
"WBGene00000521",5
"WBGene00000522",4
"WBGene00000523",1
"WBGene00000524",3
"WBGene00000526",1
"WBGene00000527",4
"WBGene00000528",2
"WBGene00000529",4
"WBGene00000531",1
"WBGene00000534",4
"WBGene00000535",4
"WBGene00000536",2
"WBGene00000539",1
"WBGene00000542",4
"WBGene00000545",4
"WBGene00000547",5
"WBGene00000552",6
"WBGene00000554",4
"WBGene00000556",3
"WBGene00000557",5
"WBGene00000560",2
"WBGene00000583",3
"WBGene00000585",5
"WBGene00000593",4
"WBGene00000594",6
"WBGene00000598",4
"WBGene00000599",1
"WBGene00000602",1
"WBGene00000603",4
"WBGene00000606",6
"WBGene00000608",4
"WBGene00000609",4
"WBGene00000610",4
"WBGene00000611",6
"WBGene00000612",4
"WBGene00000613",3
"WBGene00000614",4
"WBGene00000615",6
"WBGene00000617",4
"WBGene00000618",6
"WBGene00000620",3
"WBGene00000621",4
"WBGene00000622",3
"WBGene00000623",3
"WBGene00000624",3
"WBGene00000625",6
"WBGene00000626",6
"WBGene00000627",4
"WBGene00000628",4
"WBGene00000631",6
"WBGene00000634",6
"WBGene00000637",4
"WBGene00000641",6
"WBGene00000644",4
"WBGene00000645",6
"WBGene00000647",6
"WBGene00000648",4
"WBGene00000649",6
"WBGene00000651",6
"WBGene00000652",3
"WBGene00000653",6
"WBGene00000655",6
"WBGene00000656",1
"WBGene00000657",4
"WBGene00000659",3
"WBGene00000660",4
"WBGene00000664",4
"WBGene00000665",6
"WBGene00000667",1
"WBGene00000672",4
"WBGene00000673",3
"WBGene00000674",5
"WBGene00000675",4
"WBGene00000676",4
"WBGene00000677",3
"WBGene00000678",6
"WBGene00000679",6
"WBGene00000680",4
"WBGene00000682",4
"WBGene00000683",4
"WBGene00000684",5
"WBGene00000685",6
"WBGene00000687",4
"WBGene00000688",3
"WBGene00000689",6
"WBGene00000690",3
"WBGene00000691",1
"WBGene00000692",6
"WBGene00000693",4
"WBGene00000694",4
"WBGene00000697",3
"WBGene00000698",5
"WBGene00000699",1
"WBGene00000702",3
"WBGene00000705",6
"WBGene00000707",6
"WBGene00000711",6
"WBGene00000712",4
"WBGene00000714",1
"WBGene00000715",1
"WBGene00000717",1
"WBGene00000718",6
"WBGene00000720",1
"WBGene00000722",3
"WBGene00000723",4
"WBGene00000724",4
"WBGene00000726",6
"WBGene00000727",6
"WBGene00000728",6
"WBGene00000729",6
"WBGene00000730",6
"WBGene00000731",3
"WBGene00000732",1
"WBGene00000733",1
"WBGene00000736",3
"WBGene00000737",3
"WBGene00000739",1
"WBGene00000740",6
"WBGene00000741",6
"WBGene00000742",6
"WBGene00000743",6
"WBGene00000745",3
"WBGene00000746",6
"WBGene00000747",4
"WBGene00000749",3
"WBGene00000750",4
"WBGene00000751",4
"WBGene00000753",6
"WBGene00000755",6
"WBGene00000756",4
"WBGene00000757",6
"WBGene00000758",4
"WBGene00000759",6
"WBGene00000761",1
"WBGene00000765",1
"WBGene00000767",1
"WBGene00000768",3
"WBGene00000770",2
"WBGene00000771",6
"WBGene00000772",2
"WBGene00000776",6
"WBGene00000777",2
"WBGene00000778",3
"WBGene00000779",3
"WBGene00000780",1
"WBGene00000781",3
"WBGene00000782",2
"WBGene00000783",3
"WBGene00000784",3
"WBGene00000785",5
"WBGene00000786",5
"WBGene00000787",2
"WBGene00000788",5
"WBGene00000789",2
"WBGene00000794",6
"WBGene00000795",2
"WBGene00000796",1
"WBGene00000798",2
"WBGene00000799",5
"WBGene00000800",3
"WBGene00000801",6
"WBGene00000802",3
"WBGene00000804",6
"WBGene00000822",4
"WBGene00000830",2
"WBGene00000831",4
"WBGene00000832",2
"WBGene00000833",5
"WBGene00000834",4
"WBGene00000835",5
"WBGene00000841",1
"WBGene00000843",5
"WBGene00000845",4
"WBGene00000851",4
"WBGene00000853",3
"WBGene00000854",1
"WBGene00000857",5
"WBGene00000858",5
"WBGene00000865",2
"WBGene00000866",2
"WBGene00000868",6
"WBGene00000869",6
"WBGene00000870",5
"WBGene00000871",2
"WBGene00000872",2
"WBGene00000875",2
"WBGene00000877",6
"WBGene00000878",6
"WBGene00000879",6
"WBGene00000881",3
"WBGene00000882",3
"WBGene00000883",6
"WBGene00000884",1
"WBGene00000887",6
"WBGene00000889",6
"WBGene00000892",1
"WBGene00000893",5
"WBGene00000894",4
"WBGene00000896",5
"WBGene00000898",5
"WBGene00000902",5
"WBGene00000903",3
"WBGene00000905",5
"WBGene00000908",3
"WBGene00000910",4
"WBGene00000912",2
"WBGene00000915",2
"WBGene00000920",3
"WBGene00000928",3
"WBGene00000929",2
"WBGene00000930",5
"WBGene00000932",2
"WBGene00000933",1
"WBGene00000934",4
"WBGene00000935",2
"WBGene00000939",1
"WBGene00000941",6
"WBGene00000942",3
"WBGene00000951",4
"WBGene00000961",1
"WBGene00000964",3
"WBGene00000966",5
"WBGene00000967",5
"WBGene00000968",3
"WBGene00000969",4
"WBGene00000970",3
"WBGene00000971",4
"WBGene00000973",3
"WBGene00000974",6
"WBGene00000975",3
"WBGene00000977",4
"WBGene00000978",2
"WBGene00000979",3
"WBGene00000980",2
"WBGene00000981",1
"WBGene00000982",4
"WBGene00000983",5
"WBGene00000984",1
"WBGene00000987",2
"WBGene00000988",5
"WBGene00000990",3
"WBGene00000991",1
"WBGene00000992",5
"WBGene00000993",4
"WBGene00000995",5
"WBGene00000996",5
"WBGene00001000",5
"WBGene00001001",1
"WBGene00001005",5
"WBGene00001017",1
"WBGene00001020",5
"WBGene00001025",1
"WBGene00001027",1
"WBGene00001028",1
"WBGene00001029",1
"WBGene00001030",2
"WBGene00001031",1
"WBGene00001035",1
"WBGene00001038",1
"WBGene00001039",6
"WBGene00001042",1
"WBGene00001044",2
"WBGene00001045",5
"WBGene00001047",5
"WBGene00001052",4
"WBGene00001054",4
"WBGene00001055",1
"WBGene00001056",5
"WBGene00001058",3
"WBGene00001059",5
"WBGene00001064",5
"WBGene00001065",3
"WBGene00001066",6
"WBGene00001067",6
"WBGene00001068",1
"WBGene00001069",5
"WBGene00001070",5
"WBGene00001071",3
"WBGene00001072",5
"WBGene00001073",3
"WBGene00001074",6
"WBGene00001075",5
"WBGene00001077",3
"WBGene00001078",5
"WBGene00001079",5
"WBGene00001082",5
"WBGene00001088",6
"WBGene00001089",5
"WBGene00001090",1
"WBGene00001091",1
"WBGene00001099",1
"WBGene00001109",4
"WBGene00001113",4
"WBGene00001119",2
"WBGene00001132",5
"WBGene00001134",1
"WBGene00001135",4
"WBGene00001136",1
"WBGene00001148",5
"WBGene00001149",6
"WBGene00001150",6
"WBGene00001151",1
"WBGene00001153",3
"WBGene00001154",5
"WBGene00001155",5
"WBGene00001156",3
"WBGene00001159",5
"WBGene00001160",2
"WBGene00001163",3
"WBGene00001167",2
"WBGene00001168",2
"WBGene00001172",2
"WBGene00001173",4
"WBGene00001178",5
"WBGene00001182",4
"WBGene00001184",1
"WBGene00001186",3
"WBGene00001188",5
"WBGene00001189",2
"WBGene00001196",1
"WBGene00001202",4
"WBGene00001207",2
"WBGene00001208",1
"WBGene00001214",2
"WBGene00001225",2
"WBGene00001226",1
"WBGene00001228",6
"WBGene00001229",2
"WBGene00001230",2
"WBGene00001232",2
"WBGene00001233",6
"WBGene00001234",6
"WBGene00001235",6
"WBGene00001239",5
"WBGene00001240",3
"WBGene00001241",6
"WBGene00001242",3
"WBGene00001243",3
"WBGene00001244",3
"WBGene00001245",6
"WBGene00001247",5
"WBGene00001248",4
"WBGene00001249",3
"WBGene00001250",3
"WBGene00001251",4
"WBGene00001259",1
"WBGene00001262",1
"WBGene00001263",1
"WBGene00001284",1
"WBGene00001303",5
"WBGene00001309",6
"WBGene00001320",2
"WBGene00001325",5
"WBGene00001328",1
"WBGene00001329",6
"WBGene00001331",5
"WBGene00001333",1
"WBGene00001336",2
"WBGene00001366",4
"WBGene00001371",6
"WBGene00001372",2
"WBGene00001374",4
"WBGene00001385",6
"WBGene00001386",6
"WBGene00001387",3
"WBGene00001390",2
"WBGene00001391",2
"WBGene00001392",3
"WBGene00001393",2
"WBGene00001394",5
"WBGene00001395",1
"WBGene00001396",3
"WBGene00001397",3
"WBGene00001398",3
"WBGene00001399",3
"WBGene00001401",2
"WBGene00001402",2
"WBGene00001403",4
"WBGene00001404",5
"WBGene00001412",2
"WBGene00001414",6
"WBGene00001425",3
"WBGene00001426",5
"WBGene00001427",6
"WBGene00001428",3
"WBGene00001429",6
"WBGene00001430",3
"WBGene00001431",6
"WBGene00001432",3
"WBGene00001439",2
"WBGene00001440",2
"WBGene00001443",1
"WBGene00001444",2
"WBGene00001445",2
"WBGene00001446",2
"WBGene00001447",2
"WBGene00001448",2
"WBGene00001449",2
"WBGene00001450",2
"WBGene00001451",2
"WBGene00001452",2
"WBGene00001453",2
"WBGene00001454",2
"WBGene00001455",2
"WBGene00001456",2
"WBGene00001457",2
"WBGene00001458",2
"WBGene00001459",2
"WBGene00001460",2
"WBGene00001461",2
"WBGene00001462",2
"WBGene00001463",2
"WBGene00001464",2
"WBGene00001466",4
"WBGene00001468",5
"WBGene00001475",5
"WBGene00001476",4
"WBGene00001477",4
"WBGene00001478",4
"WBGene00001479",5
"WBGene00001480",6
"WBGene00001481",2
"WBGene00001487",2
"WBGene00001491",4
"WBGene00001494",4
"WBGene00001496",2
"WBGene00001497",1
"WBGene00001498",1
"WBGene00001499",2
"WBGene00001500",2
"WBGene00001501",3
"WBGene00001502",5
"WBGene00001503",1
"WBGene00001505",4
"WBGene00001506",4
"WBGene00001508",1
"WBGene00001510",2
"WBGene00001514",2
"WBGene00001517",4
"WBGene00001518",4
"WBGene00001519",4
"WBGene00001520",5
"WBGene00001522",5
"WBGene00001523",5
"WBGene00001527",5
"WBGene00001536",4
"WBGene00001537",2
"WBGene00001558",5
"WBGene00001559",5
"WBGene00001564",4
"WBGene00001566",1
"WBGene00001570",5
"WBGene00001572",4
"WBGene00001577",4
"WBGene00001578",3
"WBGene00001591",2
"WBGene00001595",2
"WBGene00001597",2
"WBGene00001599",2
"WBGene00001600",2
"WBGene00001601",6
"WBGene00001603",6
"WBGene00001606",6
"WBGene00001607",2
"WBGene00001615",1
"WBGene00001616",4
"WBGene00001620",3
"WBGene00001621",2
"WBGene00001623",4
"WBGene00001624",1
"WBGene00001628",5
"WBGene00001630",1
"WBGene00001631",3
"WBGene00001632",5
"WBGene00001633",3
"WBGene00001636",5
"WBGene00001637",3
"WBGene00001638",1
"WBGene00001644",4
"WBGene00001646",5
"WBGene00001649",6
"WBGene00001678",2
"WBGene00001682",3
"WBGene00001683",2
"WBGene00001684",5
"WBGene00001685",3
"WBGene00001686",2
"WBGene00001687",1
"WBGene00001688",3
"WBGene00001689",5
"WBGene00001690",5
"WBGene00001691",6
"WBGene00001692",2
"WBGene00001693",4
"WBGene00001694",4
"WBGene00001696",4
"WBGene00001697",4
"WBGene00001698",4
"WBGene00001699",2
"WBGene00001701",5
"WBGene00001703",4
"WBGene00001704",4
"WBGene00001705",5
"WBGene00001707",5
"WBGene00001709",4
"WBGene00001711",5
"WBGene00001712",3
"WBGene00001714",6
"WBGene00001716",6
"WBGene00001717",4
"WBGene00001718",4
"WBGene00001719",5
"WBGene00001721",5
"WBGene00001724",5
"WBGene00001725",6
"WBGene00001726",3
"WBGene00001727",1
"WBGene00001728",3
"WBGene00001729",4
"WBGene00001730",4
"WBGene00001731",4
"WBGene00001732",4
"WBGene00001733",4
"WBGene00001734",4
"WBGene00001735",4
"WBGene00001744",5
"WBGene00001746",4
"WBGene00001748",2
"WBGene00001749",3
"WBGene00001750",4
"WBGene00001751",2
"WBGene00001752",6
"WBGene00001753",3
"WBGene00001754",3
"WBGene00001755",3
"WBGene00001758",3
"WBGene00001761",6
"WBGene00001762",5
"WBGene00001763",2
"WBGene00001767",6
"WBGene00001768",2
"WBGene00001770",5
"WBGene00001771",6
"WBGene00001772",1
"WBGene00001774",5
"WBGene00001775",5
"WBGene00001776",4
"WBGene00001777",6
"WBGene00001782",4
"WBGene00001783",4
"WBGene00001784",3
"WBGene00001786",3
"WBGene00001787",4
"WBGene00001789",4
"WBGene00001790",3
"WBGene00001793",5
"WBGene00001794",3
"WBGene00001795",1
"WBGene00001803",2
"WBGene00001808",6
"WBGene00001812",3
"WBGene00001813",1
"WBGene00001814",5
"WBGene00001815",1
"WBGene00001817",5
"WBGene00001819",1
"WBGene00001821",2
"WBGene00001824",1
"WBGene00001831",2
"WBGene00001841",4
"WBGene00001843",3
"WBGene00001844",1
"WBGene00001852",2
"WBGene00001853",6
"WBGene00001854",6
"WBGene00001855",6
"WBGene00001856",6
"WBGene00001860",1
"WBGene00001862",2
"WBGene00001863",1
"WBGene00001864",2
"WBGene00001865",2
"WBGene00001876",6
"WBGene00001877",6
"WBGene00001878",6
"WBGene00001879",6
"WBGene00001880",6
"WBGene00001881",6
"WBGene00001885",6
"WBGene00001891",6
"WBGene00001892",6
"WBGene00001898",6
"WBGene00001899",6
"WBGene00001906",6
"WBGene00001909",5
"WBGene00001911",3
"WBGene00001912",4
"WBGene00001914",6
"WBGene00001915",5
"WBGene00001919",6
"WBGene00001921",6
"WBGene00001922",6
"WBGene00001932",6
"WBGene00001933",6
"WBGene00001934",6
"WBGene00001935",6
"WBGene00001936",6
"WBGene00001937",6
"WBGene00001938",6
"WBGene00001942",6
"WBGene00001944",6
"WBGene00001945",2
"WBGene00001946",6
"WBGene00001955",2
"WBGene00001971",2
"WBGene00001974",1
"WBGene00001975",2
"WBGene00001976",5
"WBGene00001977",6
"WBGene00001980",3
"WBGene00001983",1
"WBGene00001984",5
"WBGene00001985",2
"WBGene00001986",4
"WBGene00001990",4
"WBGene00001991",4
"WBGene00001993",3
"WBGene00002001",1
"WBGene00002002",5
"WBGene00002003",5
"WBGene00002005",6
"WBGene00002007",1
"WBGene00002008",3
"WBGene00002010",2
"WBGene00002011",1
"WBGene00002012",2
"WBGene00002013",2
"WBGene00002016",2
"WBGene00002017",3
"WBGene00002018",2
"WBGene00002021",5
"WBGene00002023",5
"WBGene00002024",1
"WBGene00002025",1
"WBGene00002026",2
"WBGene00002028",4
"WBGene00002032",2
"WBGene00002033",2
"WBGene00002034",2
"WBGene00002037",1
"WBGene00002038",5
"WBGene00002039",5
"WBGene00002041",1
"WBGene00002043",6
"WBGene00002044",1
"WBGene00002045",2
"WBGene00002047",2
"WBGene00002048",2
"WBGene00002050",1
"WBGene00002052",4
"WBGene00002053",1
"WBGene00002054",4
"WBGene00002055",1
"WBGene00002056",4
"WBGene00002057",1
"WBGene00002058",4
"WBGene00002059",6
"WBGene00002060",5
"WBGene00002061",6
"WBGene00002062",3
"WBGene00002063",6
"WBGene00002064",2
"WBGene00002065",6
"WBGene00002067",1
"WBGene00002068",2
"WBGene00002069",2
"WBGene00002070",5
"WBGene00002071",5
"WBGene00002073",6
"WBGene00002079",2
"WBGene00002081",1
"WBGene00002083",1
"WBGene00002084",2
"WBGene00002088",3
"WBGene00002090",5
"WBGene00002092",5
"WBGene00002095",3
"WBGene00002098",2
"WBGene00002100",2
"WBGene00002101",2
"WBGene00002103",2
"WBGene00002107",2
"WBGene00002110",6
"WBGene00002111",2
"WBGene00002112",2
"WBGene00002113",2
"WBGene00002116",3
"WBGene00002118",3
"WBGene00002123",1
"WBGene00002125",1
"WBGene00002127",1
"WBGene00002128",2
"WBGene00002129",2
"WBGene00002130",2
"WBGene00002131",2
"WBGene00002133",4
"WBGene00002134",1
"WBGene00002135",5
"WBGene00002136",2
"WBGene00002137",1
"WBGene00002138",1
"WBGene00002139",1
"WBGene00002140",4
"WBGene00002143",2
"WBGene00002146",4
"WBGene00002150",4
"WBGene00002152",1
"WBGene00002153",1
"WBGene00002162",6
"WBGene00002163",2
"WBGene00002173",1
"WBGene00002175",3
"WBGene00002179",1
"WBGene00002180",3
"WBGene00002181",5
"WBGene00002183",5
"WBGene00002184",2
"WBGene00002186",6
"WBGene00002187",1
"WBGene00002188",2
"WBGene00002189",4
"WBGene00002190",4
"WBGene00002191",2
"WBGene00002192",2
"WBGene00002195",4
"WBGene00002196",2
"WBGene00002199",1
"WBGene00002200",4
"WBGene00002202",2
"WBGene00002206",6
"WBGene00002215",5
"WBGene00002216",1
"WBGene00002220",6
"WBGene00002223",1
"WBGene00002226",2
"WBGene00002229",5
"WBGene00002234",4
"WBGene00002240",2
"WBGene00002245",2
"WBGene00002247",1
"WBGene00002248",1
"WBGene00002249",3
"WBGene00002250",3
"WBGene00002253",2
"WBGene00002254",5
"WBGene00002255",5
"WBGene00002256",6
"WBGene00002257",3
"WBGene00002258",3
"WBGene00002259",6
"WBGene00002261",4
"WBGene00002262",5
"WBGene00002263",2
"WBGene00002264",5
"WBGene00002265",4
"WBGene00002266",4
"WBGene00002267",3
"WBGene00002268",4
"WBGene00002269",5
"WBGene00002271",3
"WBGene00002272",6
"WBGene00002273",5
"WBGene00002274",5
"WBGene00002275",2
"WBGene00002276",4
"WBGene00002280",1
"WBGene00002282",3
"WBGene00002285",3
"WBGene00002297",2
"WBGene00002368",2
"WBGene00002393",3
"WBGene00002497",5
"WBGene00002783",1
"WBGene00002827",3
"WBGene00002855",4
"WBGene00002879",1
"WBGene00002881",1
"WBGene00002891",3
"WBGene00002915",1
"WBGene00002975",5
"WBGene00002977",1
"WBGene00002978",4
"WBGene00002979",4
"WBGene00002980",4
"WBGene00002981",2
"WBGene00002982",2
"WBGene00002983",5
"WBGene00002991",1
"WBGene00002992",2
"WBGene00002996",6
"WBGene00002999",1
"WBGene00003009",2
"WBGene00003010",3
"WBGene00003011",1
"WBGene00003014",2
"WBGene00003015",5
"WBGene00003019",1
"WBGene00003020",1
"WBGene00003025",6
"WBGene00003026",1
"WBGene00003029",6
"WBGene00003031",5
"WBGene00003043",4
"WBGene00003048",5
"WBGene00003053",5
"WBGene00003055",5
"WBGene00003056",3
"WBGene00003057",5
"WBGene00003059",1
"WBGene00003060",1
"WBGene00003061",5
"WBGene00003063",2
"WBGene00003065",5
"WBGene00003066",1
"WBGene00003071",5
"WBGene00003072",5
"WBGene00003073",2
"WBGene00003074",1
"WBGene00003075",6
"WBGene00003079",6
"WBGene00003080",6
"WBGene00003081",6
"WBGene00003082",5
"WBGene00003083",2
"WBGene00003084",4
"WBGene00003086",3
"WBGene00003089",5
"WBGene00003090",5
"WBGene00003091",5
"WBGene00003092",4
"WBGene00003093",3
"WBGene00003094",5
"WBGene00003095",5
"WBGene00003096",3
"WBGene00003097",5
"WBGene00003099",3
"WBGene00003104",6
"WBGene00003107",5
"WBGene00003112",1
"WBGene00003119",2
"WBGene00003123",5
"WBGene00003129",6
"WBGene00003130",2
"WBGene00003142",1
"WBGene00003148",5
"WBGene00003154",2
"WBGene00003155",2
"WBGene00003156",2
"WBGene00003161",2
"WBGene00003162",5
"WBGene00003163",3
"WBGene00003165",1
"WBGene00003166",4
"WBGene00003169",1
"WBGene00003171",5
"WBGene00003172",4
"WBGene00003173",4
"WBGene00003175",5
"WBGene00003178",6
"WBGene00003182",1
"WBGene00003184",2
"WBGene00003185",5
"WBGene00003209",2
"WBGene00003214",3
"WBGene00003225",6
"WBGene00003228",2
"WBGene00003229",2
"WBGene00003230",2
"WBGene00003231",2
"WBGene00003233",4
"WBGene00003234",5
"WBGene00003235",6
"WBGene00003239",3
"WBGene00003247",5
"WBGene00003248",5
"WBGene00003254",5
"WBGene00003258",5
"WBGene00003356",2
"WBGene00003367",1
"WBGene00003368",4
"WBGene00003369",4
"WBGene00003370",3
"WBGene00003371",4
"WBGene00003372",3
"WBGene00003373",2
"WBGene00003375",6
"WBGene00003378",5
"WBGene00003380",2
"WBGene00003384",3
"WBGene00003385",2
"WBGene00003388",5
"WBGene00003393",1
"WBGene00003395",2
"WBGene00003396",1
"WBGene00003400",5
"WBGene00003402",1
"WBGene00003403",2
"WBGene00003406",2
"WBGene00003407",1
"WBGene00003408",1
"WBGene00003410",5
"WBGene00003412",6
"WBGene00003414",1
"WBGene00003423",4
"WBGene00003443",3
"WBGene00003469",6
"WBGene00003471",5
"WBGene00003472",1
"WBGene00003473",2
"WBGene00003474",5
"WBGene00003476",4
"WBGene00003477",1
"WBGene00003482",5
"WBGene00003485",5
"WBGene00003495",5
"WBGene00003497",4
"WBGene00003509",2
"WBGene00003510",2
"WBGene00003511",5
"WBGene00003515",1
"WBGene00003517",4
"WBGene00003518",4
"WBGene00003519",1
"WBGene00003522",5
"WBGene00003523",4
"WBGene00003524",4
"WBGene00003526",6
"WBGene00003528",1
"WBGene00003529",4
"WBGene00003530",1
"WBGene00003532",6
"WBGene00003533",6
"WBGene00003534",5
"WBGene00003542",4
"WBGene00003544",1
"WBGene00003546",4
"WBGene00003547",6
"WBGene00003549",4
"WBGene00003551",1
"WBGene00003552",5
"WBGene00003553",5
"WBGene00003562",2
"WBGene00003564",1
"WBGene00003566",4
"WBGene00003567",1
"WBGene00003568",1
"WBGene00003569",4
"WBGene00003571",5
"WBGene00003572",1
"WBGene00003573",3
"WBGene00003575",4
"WBGene00003577",1
"WBGene00003578",5
"WBGene00003579",6
"WBGene00003581",2
"WBGene00003586",6
"WBGene00003588",4
"WBGene00003590",1
"WBGene00003591",2
"WBGene00003593",1
"WBGene00003594",3
"WBGene00003596",2
"WBGene00003597",1
"WBGene00003599",4
"WBGene00003600",4
"WBGene00003602",4
"WBGene00003603",2
"WBGene00003604",4
"WBGene00003606",2
"WBGene00003609",2
"WBGene00003616",2
"WBGene00003617",2
"WBGene00003622",1
"WBGene00003623",5
"WBGene00003624",4
"WBGene00003625",1
"WBGene00003626",2
"WBGene00003627",1
"WBGene00003633",3
"WBGene00003636",5
"WBGene00003638",2
"WBGene00003643",2
"WBGene00003647",5
"WBGene00003648",6
"WBGene00003651",3
"WBGene00003652",4
"WBGene00003654",2
"WBGene00003658",6
"WBGene00003659",4
"WBGene00003663",5
"WBGene00003664",5
"WBGene00003676",2
"WBGene00003678",2
"WBGene00003679",5
"WBGene00003680",2
"WBGene00003681",5
"WBGene00003682",2
"WBGene00003683",5
"WBGene00003687",1
"WBGene00003691",3
"WBGene00003693",2
"WBGene00003695",1
"WBGene00003699",2
"WBGene00003703",5
"WBGene00003704",5
"WBGene00003707",1
"WBGene00003710",2
"WBGene00003712",2
"WBGene00003716",2
"WBGene00003717",3
"WBGene00003723",2
"WBGene00003729",4
"WBGene00003730",1
"WBGene00003731",4
"WBGene00003734",1
"WBGene00003735",1
"WBGene00003736",5
"WBGene00003738",5
"WBGene00003739",2
"WBGene00003740",2
"WBGene00003741",2
"WBGene00003743",2
"WBGene00003744",2
"WBGene00003746",2
"WBGene00003747",2
"WBGene00003748",2
"WBGene00003749",2
"WBGene00003750",2
"WBGene00003751",2
"WBGene00003752",2
"WBGene00003753",2
"WBGene00003754",4
"WBGene00003755",2
"WBGene00003756",2
"WBGene00003757",2
"WBGene00003758",6
"WBGene00003759",2
"WBGene00003762",3
"WBGene00003763",1
"WBGene00003764",1
"WBGene00003765",3
"WBGene00003767",1
"WBGene00003768",5
"WBGene00003769",3
"WBGene00003771",6
"WBGene00003776",5
"WBGene00003778",2
"WBGene00003783",2
"WBGene00003785",2
"WBGene00003786",5
"WBGene00003790",2
"WBGene00003804",2
"WBGene00003806",5
"WBGene00003812",2
"WBGene00003813",1
"WBGene00003818",1
"WBGene00003821",2
"WBGene00003828",3
"WBGene00003829",5
"WBGene00003831",5
"WBGene00003836",6
"WBGene00003837",1
"WBGene00003847",5
"WBGene00003849",4
"WBGene00003851",3
"WBGene00003856",2
"WBGene00003858",2
"WBGene00003860",4
"WBGene00003861",3
