"Cluster","Description","qvalue","GeneRatio","BgRatio","Count","FE"
"Cluster 4","Longevity regulating pathway - worm",0.0273033395944225,"9/143","71/3384",9,2.99970452083128
"Cluster 4","Sphingolipid metabolism",0.0273033395944225,"6/143","35/3384",6,4.05674325674326
"Cluster 4","Other glycan degradation",0.0282181060373784,"4/143","16/3384",4,5.91608391608392
"Cluster 5","Carbon metabolism",2.12554582222507e-12,"36/284","107/3384",36,4.00895090167171
"Cluster 5","Valine, leucine and isoleucine degradation",1.48711138598403e-07,"19/284","50/3384",19,4.52788732394366
"Cluster 5","Protein processing in endoplasmic reticulum",4.70351100360591e-07,"32/284","136/3384",32,2.8036454018227
"Cluster 5","Glyoxylate and dicarboxylate metabolism",4.70351100360591e-07,"15/284","35/3384",15,5.10663983903421
"Cluster 5","Fatty acid degradation",5.90626849970839e-07,"18/284","51/3384",18,4.20546810273405
"Cluster 5","Pyruvate metabolism",8.31250458814175e-07,"13/284","28/3384",13,5.53219315895372
"Cluster 5","Cysteine and methionine metabolism",1.52480765018711e-06,"15/284","39/3384",15,4.58288190682557
"Cluster 5","Propanoate metabolism",9.2159111668799e-06,"12/284","29/3384",12,4.93054881010199
"Cluster 5","Tryptophan metabolism",1.27174195418714e-05,"13/284","35/3384",13,4.42575452716298
"Cluster 5","Biosynthesis of amino acids",1.3076010522157e-05,"19/284","70/3384",19,3.23420523138833
"Cluster 5","Glycolysis / Gluconeogenesis",1.87392794289228e-05,"14/284","42/3384",14,3.97183098591549
"Cluster 5","Arginine and proline metabolism",0.000104676588303849,"10/284","26/3384",10,4.58288190682557
"Cluster 5","Fatty acid metabolism",0.000112338835791112,"15/284","55/3384",15,3.24967989756722
"Cluster 5","Lysine degradation",0.000137478547201808,"12/284","38/3384",12,3.76278724981468
"Cluster 5","beta-Alanine metabolism",0.000185701027353113,"9/284","23/3384",9,4.66258420085732
"Cluster 5","Lysosome",0.0004747002143257,"20/284","99/3384",20,2.40717029449424
"Cluster 5","Phagosome",0.0004747002143257,"15/284","63/3384",15,2.83702213279678
"Cluster 5","Ascorbate and aldarate metabolism",0.000513687320424828,"8/284","21/3384",8,4.53923541247485
"Cluster 5","Glycine, serine and threonine metabolism",0.000621881735049173,"9/284","27/3384",9,3.97183098591549
"Cluster 5","Proteasome",0.00103302758584004,"11/284","41/3384",11,3.19683957402954
"Cluster 5","Amino sugar and nucleotide sugar metabolism",0.00104382135467733,"10/284","35/3384",10,3.40442655935614
"Cluster 5","Glutathione metabolism",0.00104596137879871,"12/284","48/3384",12,2.97887323943662
"Cluster 5","N-Glycan biosynthesis",0.00155440320143554,"10/284","37/3384",10,3.22040350209364
"Cluster 5","Fructose and mannose metabolism",0.00181475474349187,"7/284","20/3384",7,4.17042253521127
"Cluster 5","Citrate cycle (TCA cycle)",0.00247811676204268,"9/284","33/3384",9,3.24967989756722
"Cluster 5","Sulfur metabolism",0.00266030118664119,"6/284","16/3384",6,4.46830985915493
"Cluster 5","Protein export",0.0030646417725652,"7/284","22/3384",7,3.79129321382842
"Cluster 5","Butanoate metabolism",0.00674485857772948,"6/284","19/3384",6,3.76278724981468
"Cluster 5","Histidine metabolism",0.00790423398653133,"5/284","14/3384",5,4.25553319919517
"Cluster 5","Phenylalanine metabolism",0.0250395771682736,"4/284","12/3384",4,3.97183098591549
"Cluster 6","Ribosome",3.6402494035059e-54,"88/315","149/3384",88,6.34477468839885
"Cluster 6","Oxidative phosphorylation",1.99313822483596e-21,"49/315","111/3384",49,4.74234234234234
"Cluster 6","Spliceosome",3.4149945201789e-09,"34/315","112/3384",34,3.26122448979592
"Cluster 6","RNA polymerase",0.028906269189851,"8/315","25/3384",8,3.43771428571429
