"GO","In.ref","In.input","Expect","Over.under","FE","Bonferroni.pvalue","Cluster"
"oviposition (GO:0018991)",346,43,18.37,"+",2.34,0.00115,"Cluster 1"
"cell migration (GO:0016477)",298,37,15.82,"+",2.34,0.00717,"Cluster 1"
"transport (GO:0006810)",2305,285,122.4,"+",2.33,4.56e-39,"Cluster 1"
"peptide metabolic process (GO:0006518)",347,43,18.43,"+",2.33,0.00124,"Cluster 1"
"development of primary sexual characteristics (GO:0045137)",968,119,51.4,"+",2.32,1.43e-13,"Cluster 1"
"gonad development (GO:0008406)",968,119,51.4,"+",2.32,1.43e-13,"Cluster 1"
"establishment of localization (GO:0051234)",2394,294,127.12,"+",2.31,4.91e-40,"Cluster 1"
"reproductive system development (GO:0061458)",983,120,52.2,"+",2.3,1.72e-13,"Cluster 1"
"reproductive structure development (GO:0048608)",983,120,52.2,"+",2.3,1.72e-13,"Cluster 1"
"carboxylic acid metabolic process (GO:0019752)",404,49,21.45,"+",2.28,0.00038,"Cluster 1"
"animal organ development (GO:0048513)",1115,133,59.21,"+",2.25,1.86e-14,"Cluster 1"
"regulation of localization (GO:0032879)",376,45,19.97,"+",2.25,0.00171,"Cluster 1"
"sex differentiation (GO:0007548)",1051,125,55.81,"+",2.24,2.52e-13,"Cluster 1"
"cell development (GO:0048468)",879,104,46.67,"+",2.23,1.63e-10,"Cluster 1"
"larval development (GO:0002164)",2075,243,110.18,"+",2.21,1.34e-28,"Cluster 1"
"organic acid metabolic process (GO:0006082)",427,50,22.67,"+",2.21,0.000789,"Cluster 1"
"oxoacid metabolic process (GO:0043436)",427,50,22.67,"+",2.21,0.000789,"Cluster 1"
"nematode larval development (GO:0002119)",2071,242,109.97,"+",2.2,2.57e-28,"Cluster 1"
"cellular amide metabolic process (GO:0043603)",393,46,20.87,"+",2.2,0.00233,"Cluster 1"
"reproductive behavior (GO:0019098)",386,45,20.5,"+",2.2,0.00338,"Cluster 1"
"post-embryonic development (GO:0009791)",2095,244,111.24,"+",2.19,2.17e-28,"Cluster 1"
"cellular component biogenesis (GO:0044085)",816,95,43.33,"+",2.19,5.14e-09,"Cluster 1"
"lipid metabolic process (GO:0006629)",405,47,21.51,"+",2.19,0.00224,"Cluster 1"
"body morphogenesis (GO:0010171)",631,73,33.51,"+",2.18,2.63e-06,"Cluster 1"
"macromolecular complex subunit organization (GO:0043933)",521,60,27.67,"+",2.17,9.48e-05,"Cluster 1"
"macromolecular complex assembly (GO:0065003)",480,55,25.49,"+",2.16,0.000406,"Cluster 1"
"anatomical structure morphogenesis (GO:0009653)",1123,128,59.63,"+",2.15,2.45e-12,"Cluster 1"
"organic substance transport (GO:0071702)",578,65,30.69,"+",2.12,6.13e-05,"Cluster 1"
"system development (GO:0048731)",1452,163,77.1,"+",2.11,6.31e-16,"Cluster 1"
"positive regulation of biological process (GO:0048518)",1114,125,59.15,"+",2.11,1.68e-11,"Cluster 1"
"single-organism organelle organization (GO:1902589)",492,55,26.13,"+",2.11,0.000867,"Cluster 1"
"multicellular organismal reproductive process (GO:0048609)",913,102,48.48,"+",2.1,8.1e-09,"Cluster 1"
"localization (GO:0051179)",3112,345,165.25,"+",2.09,3.81e-39,"Cluster 1"
"cell differentiation (GO:0030154)",1133,126,60.16,"+",2.09,2.43e-11,"Cluster 1"
"cellular developmental process (GO:0048869)",1147,127,60.91,"+",2.09,2.57e-11,"Cluster 1"
"multicellular organism reproduction (GO:0032504)",932,103,49.49,"+",2.08,1.17e-08,"Cluster 1"
"genitalia development (GO:0048806)",747,82,39.67,"+",2.07,2.64e-06,"Cluster 1"
"hermaphrodite genitalia development (GO:0040035)",736,81,39.08,"+",2.07,2.99e-06,"Cluster 1"
"gamete generation (GO:0007276)",563,62,29.9,"+",2.07,0.000263,"Cluster 1"
"movement of cell or subcellular component (GO:0006928)",445,49,23.63,"+",2.07,0.00557,"Cluster 1"
"negative regulation of gene expression (GO:0010629)",409,45,21.72,"+",2.07,0.0145,"Cluster 1"
"developmental process involved in reproduction (GO:0003006)",1332,146,70.73,"+",2.06,4.46e-13,"Cluster 1"
"single-organism transport (GO:0044765)",806,88,42.8,"+",2.06,8.21e-07,"Cluster 1"
"multi-organism process (GO:0051704)",750,82,39.82,"+",2.06,3.16e-06,"Cluster 1"
"defense response (GO:0006952)",415,45,22.04,"+",2.04,0.0207,"Cluster 1"
"cellular catabolic process (GO:0044248)",595,64,31.59,"+",2.03,0.000371,"Cluster 1"
"cytoskeleton organization (GO:0007010)",418,45,22.2,"+",2.03,0.0246,"Cluster 1"
"cellular component organization or biogenesis (GO:0071840)",1904,204,101.1,"+",2.02,1.48e-18,"Cluster 1"
"single-organism localization (GO:1902578)",851,91,45.19,"+",2.01,1.12e-06,"Cluster 1"
"nitrogen compound transport (GO:0071705)",450,48,23.89,"+",2.01,0.016,"Cluster 1"
"germ cell development (GO:0007281)",431,46,22.89,"+",2.01,0.0244,"Cluster 1"
"reproduction (GO:0000003)",2872,305,152.5,"+",2,5.05e-30,"Cluster 1"
"regulation of multicellular organismal process (GO:0051239)",847,90,44.98,"+",2,1.91e-06,"Cluster 1"
"small molecule metabolic process (GO:0044281)",721,76,38.29,"+",1.99,5.71e-05,"Cluster 1"
"cellular process involved in reproduction in multicellular organism (GO:0022412)",436,46,23.15,"+",1.99,0.0323,"Cluster 1"
"reproductive process (GO:0022414)",1823,191,96.8,"+",1.97,4.38e-16,"Cluster 1"
"single organism reproductive process (GO:0044702)",1502,157,79.76,"+",1.97,1.6e-12,"Cluster 1"
"organic substance catabolic process (GO:1901575)",783,82,41.58,"+",1.97,2.09e-05,"Cluster 1"
"multi-organism reproductive process (GO:0044703)",679,71,36.05,"+",1.97,0.000224,"Cluster 1"
"sexual reproduction (GO:0019953)",669,70,35.52,"+",1.97,0.00027,"Cluster 1"
"gene expression (GO:0010467)",1353,141,71.84,"+",1.96,7.6e-11,"Cluster 1"
"locomotion (GO:0040011)",1666,171,88.46,"+",1.93,3.34e-13,"Cluster 1"
"protein localization (GO:0008104)",521,53,27.67,"+",1.92,0.02,"Cluster 1"
"organonitrogen compound catabolic process (GO:1901565)",541,55,28.73,"+",1.91,0.0139,"Cluster 1"
"RNA metabolic process (GO:0016070)",1180,119,62.66,"+",1.9,7.34e-08,"Cluster 1"
"catabolic process (GO:0009056)",835,84,44.34,"+",1.89,7.75e-05,"Cluster 1"
"embryo development (GO:0009790)",3092,308,164.19,"+",1.88,1.58e-25,"Cluster 1"
"cellular component organization (GO:0016043)",1771,177,94.04,"+",1.88,1.04e-12,"Cluster 1"
"embryo development ending in birth or egg hatching (GO:0009792)",3024,300,160.57,"+",1.87,2.26e-24,"Cluster 1"
"single-organism cellular process (GO:0044763)",3764,370,199.87,"+",1.85,2.18e-31,"Cluster 1"
"anatomical structure development (GO:0048856)",4756,462,252.54,"+",1.83,1.66e-41,"Cluster 1"
"multicellular organism development (GO:0007275)",4542,442,241.18,"+",1.83,4.06e-39,"Cluster 1"
"cellular component assembly (GO:0022607)",668,65,35.47,"+",1.83,0.00829,"Cluster 1"
"developmental process (GO:0032502)",4849,469,257.48,"+",1.82,6.52e-42,"Cluster 1"
"single-organism developmental process (GO:0044767)",4809,466,255.36,"+",1.82,9.68e-42,"Cluster 1"
"single-multicellular organism process (GO:0044707)",4651,449,246.97,"+",1.82,4.21e-39,"Cluster 1"
"regulation of developmental process (GO:0050793)",885,85,46.99,"+",1.81,0.000445,"Cluster 1"
"regulation of biological quality (GO:0065008)",1284,123,68.18,"+",1.8,7.69e-07,"Cluster 1"
"nucleic acid metabolic process (GO:0090304)",1405,132,74.61,"+",1.77,5.49e-07,"Cluster 1"
"response to stress (GO:0006950)",1032,97,54.8,"+",1.77,0.000158,"Cluster 1"
"organonitrogen compound biosynthetic process (GO:1901566)",674,63,35.79,"+",1.76,0.0389,"Cluster 1"
"negative regulation of biological process (GO:0048519)",1012,93,53.74,"+",1.73,0.000792,"Cluster 1"
"cellular nitrogen compound metabolic process (GO:0034641)",2013,184,106.89,"+",1.72,8.32e-10,"Cluster 1"
"organelle organization (GO:0006996)",1199,109,63.67,"+",1.71,0.000124,"Cluster 1"
"nucleobase-containing compound metabolic process (GO:0006139)",1676,150,89,"+",1.69,7.96e-07,"Cluster 1"
"heterocycle metabolic process (GO:0046483)",1726,153,91.65,"+",1.67,9.95e-07,"Cluster 1"
"cellular aromatic compound metabolic process (GO:0006725)",1729,152,91.81,"+",1.66,2.01e-06,"Cluster 1"
"organic cyclic compound metabolic process (GO:1901360)",1777,156,94.36,"+",1.65,1.27e-06,"Cluster 1"
"single-organism metabolic process (GO:0044710)",1667,144,88.52,"+",1.63,1.79e-05,"Cluster 1"
"cellular metabolic process (GO:0044237)",3934,337,208.9,"+",1.61,2.87e-17,"Cluster 1"
"multicellular organismal process (GO:0032501)",5553,473,294.86,"+",1.6,7.27e-28,"Cluster 1"
"primary metabolic process (GO:0044238)",4212,357,223.66,"+",1.6,5.87e-18,"Cluster 1"
"organic substance metabolic process (GO:0071704)",4359,367,231.46,"+",1.59,3.51e-18,"Cluster 1"
"macromolecule localization (GO:0033036)",1171,99,62.18,"+",1.59,0.0117,"Cluster 1"
"metabolic process (GO:0008152)",4926,413,261.57,"+",1.58,2.86e-21,"Cluster 1"
"single-organism process (GO:0044699)",8039,661,426.87,"+",1.55,2.82e-43,"Cluster 1"
"cellular process (GO:0009987)",7048,579,374.25,"+",1.55,9.21e-34,"Cluster 1"
"nitrogen compound metabolic process (GO:0006807)",3768,307,200.08,"+",1.53,3.78e-12,"Cluster 1"
"macromolecule metabolic process (GO:0043170)",3433,278,182.29,"+",1.53,3.2e-10,"Cluster 1"
"cellular macromolecule metabolic process (GO:0044260)",2953,234,156.8,"+",1.49,4.34e-07,"Cluster 1"
"organonitrogen compound metabolic process (GO:1901564)",2527,195,134.18,"+",1.45,0.000152,"Cluster 1"
"protein metabolic process (GO:0019538)",2061,159,109.44,"+",1.45,0.00322,"Cluster 1"
"biological_process (GO:0008150)",11145,840,591.8,"+",1.42,5.79e-52,"Cluster 1"
"biological regulation (GO:0065007)",4918,359,261.15,"+",1.37,2.84e-08,"Cluster 1"
"regulation of biological process (GO:0050789)",4232,297,224.72,"+",1.32,0.000225,"Cluster 1"
"neuropeptide signaling pathway (GO:0007218)",104,54,9.49,"+",5.69,3.1e-20,"Cluster 2"
"RNA secondary structure unwinding (GO:0010501)",36,14,3.28,"+",4.26,0.0204,"Cluster 2"
"ribosomal large subunit biogenesis (GO:0042273)",54,19,4.93,"+",3.86,0.00243,"Cluster 2"
"positive regulation of meiotic cell cycle (GO:0051446)",55,18,5.02,"+",3.59,0.0123,"Cluster 2"
"negative regulation of cellular amide metabolic process (GO:0034249)",57,18,5.2,"+",3.46,0.0197,"Cluster 2"
"negative regulation of translation (GO:0017148)",57,18,5.2,"+",3.46,0.0197,"Cluster 2"
"ribosome biogenesis (GO:0042254)",193,57,17.61,"+",3.24,1.2e-10,"Cluster 2"
"rRNA processing (GO:0006364)",132,36,12.04,"+",2.99,3.65e-05,"Cluster 2"
"regulation of translation (GO:0006417)",115,31,10.49,"+",2.95,0.000447,"Cluster 2"
"regulation of cellular amide metabolic process (GO:0034248)",115,31,10.49,"+",2.95,0.000447,"Cluster 2"
"ncRNA processing (GO:0034470)",199,53,18.16,"+",2.92,3.98e-08,"Cluster 2"
"rRNA metabolic process (GO:0016072)",140,37,12.77,"+",2.9,5.1e-05,"Cluster 2"
"positive regulation of cell cycle (GO:0045787)",87,23,7.94,"+",2.9,0.0214,"Cluster 2"
"ncRNA metabolic process (GO:0034660)",205,54,18.7,"+",2.89,3.84e-08,"Cluster 2"
"ribonucleoprotein complex biogenesis (GO:0022613)",257,61,23.45,"+",2.6,1.2e-07,"Cluster 2"
"regulation of phosphate metabolic process (GO:0019220)",140,33,12.77,"+",2.58,0.00338,"Cluster 2"
"regulation of phosphorus metabolic process (GO:0051174)",140,33,12.77,"+",2.58,0.00338,"Cluster 2"
"negative regulation of cell cycle (GO:0045786)",111,26,10.13,"+",2.57,0.046,"Cluster 2"
"regulation of protein modification process (GO:0031399)",146,33,13.32,"+",2.48,0.00804,"Cluster 2"
"meiotic cell cycle (GO:0051321)",248,56,22.63,"+",2.47,4.17e-06,"Cluster 2"
"meiotic cell cycle process (GO:1903046)",212,45,19.34,"+",2.33,0.000839,"Cluster 2"
"posttranscriptional regulation of gene expression (GO:0010608)",264,56,24.09,"+",2.32,3.43e-05,"Cluster 2"
"meiotic nuclear division (GO:0140013)",196,41,17.88,"+",2.29,0.00385,"Cluster 2"
"nuclear division (GO:0000280)",238,49,21.71,"+",2.26,0.000624,"Cluster 2"
"cell cycle process (GO:0022402)",457,93,41.7,"+",2.23,6.13e-09,"Cluster 2"
"cell cycle (GO:0007049)",528,107,48.17,"+",2.22,1.74e-10,"Cluster 2"
"cell division (GO:0051301)",238,48,21.71,"+",2.21,0.00145,"Cluster 2"
"organelle fission (GO:0048285)",247,49,22.54,"+",2.17,0.00176,"Cluster 2"
"nuclear chromosome segregation (GO:0098813)",208,41,18.98,"+",2.16,0.0156,"Cluster 2"
"mitotic cell cycle (GO:0000278)",230,45,20.98,"+",2.14,0.0069,"Cluster 2"
"regulation of protein metabolic process (GO:0051246)",380,74,34.67,"+",2.13,6.53e-06,"Cluster 2"
"regulation of cellular protein metabolic process (GO:0032268)",361,70,32.94,"+",2.13,2.05e-05,"Cluster 2"
"mitotic cell cycle process (GO:1903047)",221,43,20.16,"+",2.13,0.0129,"Cluster 2"
"regulation of cell cycle (GO:0051726)",293,53,26.73,"+",1.98,0.009,"Cluster 2"
"female gamete generation (GO:0007292)",286,50,26.09,"+",1.92,0.0398,"Cluster 2"
"negative regulation of gene expression (GO:0010629)",409,71,37.32,"+",1.9,0.000994,"Cluster 2"
"negative regulation of metabolic process (GO:0009892)",544,89,49.63,"+",1.79,0.000455,"Cluster 2"
"negative regulation of macromolecule metabolic process (GO:0010605)",528,86,48.17,"+",1.79,0.00087,"Cluster 2"
"gamete generation (GO:0007276)",563,89,51.37,"+",1.73,0.00185,"Cluster 2"
"programmed cell death (GO:0012501)",516,81,47.08,"+",1.72,0.00734,"Cluster 2"
"apoptotic process (GO:0006915)",501,78,45.71,"+",1.71,0.0147,"Cluster 2"
"single organism reproductive process (GO:0044702)",1502,229,137.04,"+",1.67,8.94e-11,"Cluster 2"
"cell death (GO:0008219)",556,84,50.73,"+",1.66,0.0196,"Cluster 2"
"genitalia development (GO:0048806)",747,112,68.15,"+",1.64,0.000928,"Cluster 2"
"hermaphrodite genitalia development (GO:0040035)",736,110,67.15,"+",1.64,0.00136,"Cluster 2"
"sexual reproduction (GO:0019953)",669,99,61.04,"+",1.62,0.00746,"Cluster 2"
"negative regulation of biological process (GO:0048519)",1012,148,92.33,"+",1.6,5.56e-05,"Cluster 2"
"multi-organism reproductive process (GO:0044703)",679,99,61.95,"+",1.6,0.0136,"Cluster 2"
"cellular component biogenesis (GO:0044085)",816,118,74.45,"+",1.58,0.00259,"Cluster 2"
"developmental process involved in reproduction (GO:0003006)",1332,191,121.53,"+",1.57,1.98e-06,"Cluster 2"
"reproductive system development (GO:0061458)",983,141,89.69,"+",1.57,0.00036,"Cluster 2"
"reproductive structure development (GO:0048608)",983,141,89.69,"+",1.57,0.00036,"Cluster 2"
"development of primary sexual characteristics (GO:0045137)",968,139,88.32,"+",1.57,0.000416,"Cluster 2"
"gonad development (GO:0008406)",968,139,88.32,"+",1.57,0.000416,"Cluster 2"
"multi-organism process (GO:0051704)",750,107,68.43,"+",1.56,0.0144,"Cluster 2"
"sex differentiation (GO:0007548)",1051,149,95.89,"+",1.55,0.000312,"Cluster 2"
"regulation of metabolic process (GO:0019222)",1627,226,148.44,"+",1.52,7.57e-07,"Cluster 2"
"determination of adult lifespan (GO:0008340)",894,124,81.57,"+",1.52,0.0101,"Cluster 2"
"multicellular organism aging (GO:0010259)",894,124,81.57,"+",1.52,0.0101,"Cluster 2"
"aging (GO:0007568)",896,124,81.75,"+",1.52,0.0112,"Cluster 2"
"regulation of macromolecule metabolic process (GO:0060255)",1570,217,143.24,"+",1.51,2.69e-06,"Cluster 2"
"nucleic acid metabolic process (GO:0090304)",1405,193,128.19,"+",1.51,3.85e-05,"Cluster 2"
"organelle organization (GO:0006996)",1199,165,109.39,"+",1.51,0.000408,"Cluster 2"
"RNA metabolic process (GO:0016070)",1180,162,107.66,"+",1.5,0.000612,"Cluster 2"
"embryo development (GO:0009790)",3092,420,282.11,"+",1.49,5.19e-14,"Cluster 2"
"embryo development ending in birth or egg hatching (GO:0009792)",3024,411,275.9,"+",1.49,1.2e-13,"Cluster 2"
"cellular nitrogen compound metabolic process (GO:0034641)",2013,273,183.66,"+",1.49,9.06e-08,"Cluster 2"
"reproductive process (GO:0022414)",1823,248,166.33,"+",1.49,6.3e-07,"Cluster 2"
"nucleobase-containing compound metabolic process (GO:0006139)",1676,228,152.91,"+",1.49,3.7e-06,"Cluster 2"
"heterocycle metabolic process (GO:0046483)",1726,233,157.48,"+",1.48,4.59e-06,"Cluster 2"
"animal organ development (GO:0048513)",1115,151,101.73,"+",1.48,0.00335,"Cluster 2"
"cellular aromatic compound metabolic process (GO:0006725)",1729,232,157.75,"+",1.47,8.27e-06,"Cluster 2"
"gene expression (GO:0010467)",1353,181,123.45,"+",1.47,0.000627,"Cluster 2"
"organic cyclic compound metabolic process (GO:1901360)",1777,235,162.13,"+",1.45,2.15e-05,"Cluster 2"
"regulation of primary metabolic process (GO:0080090)",1376,181,125.54,"+",1.44,0.0018,"Cluster 2"
"regulation of gene expression (GO:0010468)",1330,175,121.35,"+",1.44,0.00273,"Cluster 2"
"cellular component organization or biogenesis (GO:0071840)",1904,249,173.72,"+",1.43,1.89e-05,"Cluster 2"
"regulation of cellular metabolic process (GO:0031323)",1392,182,127,"+",1.43,0.00242,"Cluster 2"
"regulation of nitrogen compound metabolic process (GO:0051171)",1361,178,124.17,"+",1.43,0.00315,"Cluster 2"
"reproduction (GO:0000003)",2872,363,262.04,"+",1.39,1.82e-07,"Cluster 2"
"multicellular organism development (GO:0007275)",4542,567,414.4,"+",1.37,3.7e-13,"Cluster 2"
"single-multicellular organism process (GO:0044707)",4651,575,424.35,"+",1.36,1.36e-12,"Cluster 2"
"anatomical structure development (GO:0048856)",4756,585,433.93,"+",1.35,1.75e-12,"Cluster 2"
