GO,In.ref,In.input,Expect,Over.under,FE,Bonferroni.pvalue,Cluster
"mitochondrial electron transport, cytochrome c to oxygen ",,,,,,,Cluster 3
cytoplasmic translation ,,,,,,,Cluster 3
mitochondrial ATP synthesis coupled electron transport ,,,,,,,Cluster 3
ATP synthesis coupled electron transport ,,,,,,,Cluster 3
extracellular structure organization ,,,,,,,Cluster 4
muscle system process ,,,,,,,Cluster 4
ATP hydrolysis coupled proton transport ,,,,,,,Cluster 4
"energy coupled proton transmembrane transport, against electrochemical gradient ",,,,,,,Cluster 4
regulation of neurotransmitter secretion ,,,,,,,Cluster 4
neuropeptide signaling pathway ,,,,,,,Cluster 4
RNA secondary structure unwinding ,,,,,,,Cluster 4
ribosomal large subunit biogenesis ,,,,,,,Cluster 4
positive regulation of meiotic cell cycle ,,,,,,,Cluster 4
negative regulation of cellular amide metabolic process ,,,,,,,Cluster 4
fatty acid biosynthetic process ,,,,,,,Cluster 4
monocarboxylic acid biosynthetic process ,,,,,,,Cluster 4
small molecule catabolic process ,,,,,,,Cluster 4
fatty acid metabolic process ,,,,,,,Cluster 4
organic acid biosynthetic process ,,,,,,,Cluster 4
negative regulation of endopeptidase activity ,61,18,4.44,+,4.06,0.00228,Cluster 4
flavonoid glucuronidation ,70,20,5.09,+,3.93,0.00096,Cluster 4
cellular glucuronidation ,70,20,5.09,+,3.93,0.00096,Cluster 4
uronic acid metabolic process ,70,20,5.09,+,3.93,0.00096,Cluster 4
flavonoid biosynthetic process ,70,20,5.09,+,3.93,0.00096,Cluster 4
glycine metabolic process ,,,,,,,Cluster 4
"retrograde vesicle-mediated transport, Golgi to ER ",,,,,,,Cluster 4
Golgi organization ,,,,,,,Cluster 4
molting cycle process ,,,,,,,Cluster 4
intra-Golgi vesicle-mediated transport ,,,,,,,Cluster 4
"mitochondrial electron transport, ubiquinol to cytochrome c ",,,,,,,Cluster 4
"mitochondrial electron transport, cytochrome c to oxygen ",,,,,,,Cluster 4
cytoplasmic translation ,,,,,,,Cluster 4
mitochondrial ATP synthesis coupled electron transport ,,,,,,,Cluster 4
ATP synthesis coupled electron transport ,,,,,,,Cluster 4
extracellular structure organization ,,,,,,,Cluster 5
muscle system process ,,,,,,,Cluster 5
ATP hydrolysis coupled proton transport ,,,,,,,Cluster 5
"energy coupled proton transmembrane transport, against electrochemical gradient ",,,,,,,Cluster 5
regulation of neurotransmitter secretion ,,,,,,,Cluster 5
neuropeptide signaling pathway ,,,,,,,Cluster 5
RNA secondary structure unwinding ,,,,,,,Cluster 5
ribosomal large subunit biogenesis ,,,,,,,Cluster 5
positive regulation of meiotic cell cycle ,,,,,,,Cluster 5
negative regulation of cellular amide metabolic process ,,,,,,,Cluster 5
fatty acid biosynthetic process ,,,,,,,Cluster 5
monocarboxylic acid biosynthetic process ,,,,,,,Cluster 5
small molecule catabolic process ,,,,,,,Cluster 5
fatty acid metabolic process ,,,,,,,Cluster 5
organic acid biosynthetic process ,,,,,,,Cluster 5
negative regulation of endopeptidase activity ,,,,,,,Cluster 5
flavonoid glucuronidation ,,,,,,,Cluster 5
cellular glucuronidation ,,,,,,,Cluster 5
uronic acid metabolic process ,,,,,,,Cluster 5
flavonoid biosynthetic process ,,,,,,,Cluster 5
glycine metabolic process ,7,6,0.45,+,13.29,0.0179,Cluster 5
"retrograde vesicle-mediated transport, Golgi to ER ",16,9,1.03,+,8.72,0.0032,Cluster 5
Golgi organization ,16,9,1.03,+,8.72,0.0032,Cluster 5
molting cycle process ,30,15,1.93,+,7.75,5.31E-06,Cluster 5
intra-Golgi vesicle-mediated transport ,27,11,1.74,+,6.32,0.00501,Cluster 5
"mitochondrial electron transport, ubiquinol to cytochrome c ",,,,,,,Cluster 5
"mitochondrial electron transport, cytochrome c to oxygen ",,,,,,,Cluster 5
cytoplasmic translation ,,,,,,,Cluster 5
mitochondrial ATP synthesis coupled electron transport ,,,,,,,Cluster 5
ATP synthesis coupled electron transport ,,,,,,,Cluster 5
extracellular structure organization ,,,,,,,Cluster 6
muscle system process ,,,,,,,Cluster 6
ATP hydrolysis coupled proton transport ,,,,,,,Cluster 6
"energy coupled proton transmembrane transport, against electrochemical gradient ",,,,,,,Cluster 6
regulation of neurotransmitter secretion ,,,,,,,Cluster 6
neuropeptide signaling pathway ,,,,,,,Cluster 6
RNA secondary structure unwinding ,,,,,,,Cluster 6
ribosomal large subunit biogenesis ,,,,,,,Cluster 6
positive regulation of meiotic cell cycle ,,,,,,,Cluster 6
negative regulation of cellular amide metabolic process ,,,,,,,Cluster 6
fatty acid biosynthetic process ,,,,,,,Cluster 6
monocarboxylic acid biosynthetic process ,,,,,,,Cluster 6
small molecule catabolic process ,,,,,,,Cluster 6
fatty acid metabolic process ,,,,,,,Cluster 6
organic acid biosynthetic process ,,,,,,,Cluster 6
negative regulation of endopeptidase activity ,,,,,,,Cluster 6
flavonoid glucuronidation ,,,,,,,Cluster 6
cellular glucuronidation ,,,,,,,Cluster 6
uronic acid metabolic process ,,,,,,,Cluster 6
flavonoid biosynthetic process ,,,,,,,Cluster 6
glycine metabolic process ,,,,,,,Cluster 6
"retrograde vesicle-mediated transport, Golgi to ER ",,,,,,,Cluster 6
Golgi organization ,,,,,,,Cluster 6
molting cycle process ,,,,,,,Cluster 6
intra-Golgi vesicle-mediated transport ,,,,,,,Cluster 6
"mitochondrial electron transport, ubiquinol to cytochrome c ",9,8,0.52,+,15.41,0.000183,Cluster 6
"mitochondrial electron transport, cytochrome c to oxygen ",8,6,0.46,+,13,0.0202,Cluster 6
cytoplasmic translation ,27,18,1.56,+,11.55,2.11E-10,Cluster 6
mitochondrial ATP synthesis coupled electron transport ,29,18,1.67,+,10.76,6.87E-10,Cluster 6
ATP synthesis coupled electron transport ,29,18,1.67,+,10.76,6.87E-10,Cluster 6
