GO biological process complete,Caenorhabditis elegans - REFLIST (20452),upload_1 (1043),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
small molecule metabolic process (GO:0044281),721,74,36.77,+,2.01,4.97E-05
macromolecule catabolic process (GO:0009057),536,55,27.33,+,2.01,3.29E-03
determination of adult lifespan (GO:0008340),894,77,45.59,+,1.69,1.90E-02
multicellular organism aging (GO:0010259),894,77,45.59,+,1.69,1.90E-02
aging (GO:0007568),896,77,45.69,+,1.69,2.05E-02
metabolic process (GO:0008152),4926,311,251.21,+,1.24,3.06E-02
Unclassified (UNCLASSIFIED),9307,438,474.63,-,0.92,0.00E+00
response to stimulus (GO:0050896),3287,119,167.63,-,0.71,2.65E-02
regulation of biological process (GO:0050789),4232,146,215.82,-,0.68,3.42E-05
heterocycle metabolic process (GO:0046483),1726,53,88.02,-,0.6,4.53E-02
regulation of cellular process (GO:0050794),3568,106,181.96,-,0.58,5.80E-08
regulation of gene expression (GO:0010468),1330,37,67.83,-,0.55,4.27E-02
nucleobase-containing compound metabolic process (GO:0006139),1676,46,85.47,-,0.54,2.10E-03
regulation of macromolecule biosynthetic process (GO:0010556),1092,28,55.69,-,0.5,4.81E-02
cellular response to stimulus (GO:0051716),2303,59,117.45,-,0.5,6.67E-07
cell communication (GO:0007154),2065,49,105.31,-,0.47,2.95E-07
signal transduction (GO:0007165),1949,46,99.39,-,0.46,8.61E-07
single organism signaling (GO:0044700),2035,47,103.78,-,0.45,1.39E-07
signaling (GO:0023052),2037,47,103.88,-,0.45,1.30E-07
gene expression (GO:0010467),1353,25,69,-,0.36,8.46E-07
RNA metabolic process (GO:0016070),1180,20,60.18,-,0.33,1.72E-06
nucleic acid metabolic process (GO:0090304),1405,22,71.65,-,0.31,4.06E-09
protein phosphorylation (GO:0006468),450,5,22.95,-,0.22,1.39E-02
G-protein coupled receptor signaling pathway (GO:0007186),781,8,39.83,-,0.2,1.34E-06
system process (GO:0003008),944,9,48.14,-, < 0.2,6.08E-09
single-organism behavior (GO:0044708),432,4,22.03,-, < 0.2,6.17E-03
chemosensory behavior (GO:0007635),330,2,16.83,-, < 0.2,1.59E-02
detection of chemical stimulus (GO:0009593),588,3,29.99,-, < 0.2,7.44E-07
detection of stimulus (GO:0051606),615,3,31.36,-, < 0.2,2.06E-07
sensory perception of chemical stimulus (GO:0007606),773,3,39.42,-, < 0.2,9.80E-11
sensory perception (GO:0007600),800,3,40.8,-, < 0.2,2.60E-11
detection of chemical stimulus involved in sensory perception of smell (GO:0050911),281,1,14.33,-, < 0.2,1.89E-02
neurological system process (GO:0050877),856,3,43.65,-, < 0.2,1.63E-12
RNA processing (GO:0006396),400,1,20.4,-, < 0.2,5.56E-05
detection of chemical stimulus involved in sensory perception (GO:0050907),582,1,29.68,-, < 0.2,5.96E-09
detection of stimulus involved in sensory perception (GO:0050906),588,1,29.99,-, < 0.2,4.39E-09
